1994-04-04,2024-02-01,b4a6fef7-8dfc-40a9-8731-fea706ab136a,marko.markovski@gmail.com,6.07994E+11,Markovski,Marko,fwegrhSW,+38970123456
1992-03-16,2024-01-02,f01fe25a-9d61-4e0c-b5ff-9e884ca64d8a,angela.a@gmail.com,1.60399E+12,Anastasova,Angela,djefwjk22,+38973698745
1988-08-26,2024-01-12,d1b9d397-ff13-4dbb-92f1-67ba41e27c40,anastasijaaapetrushevska2@hotmail.com,2.60899E+12,Petrushevska,Anastasija,sdfghw33sad.e,+38975555666
2000-11-03,2023-12-04,21f704b6-6a53-4080-9c67-ba475095e765,angel.filipov@hotmail.com,3.11E+11,Filipov,Angel,wsekjfnr2,+38970147852
1970-12-14,2023-12-09,f01fe25a-9d61-4e0c-b5ff-9e884ca64d8a,marijat@hotmail.com,1.41297E+12,Trajkovska,Marija,serg554rh5ege,+38973233220
1990-02-19,2023-11-11,1fa59e91-2420-4011-8cc5-9e43ae3eeb11,angelovskamarina@hotmail.com,1.90299E+12,Angelovska,Marina,knaeknfw,+38974558954
1994-07-22,2024-02-21,66a4088b-3775-4a9b-a0f1-5226b62bf01a,velokva_marija@gmail.com,2.20499E+12,Velkova,Martina,DVGGW22df,+38971440033
1999-05-10,2023-10-02,8b228745-dbfc-4415-8f32-dfb5c72d9033,marija.stankovska@hotmail.com,1.006E+12,Stankovska,Marija,pass123456mfekmtg,+38970684251
2002-09-27,2023-10-09,b4a6fef7-8dfc-40a9-8731-fea706ab136a,magdenastevska55@hotmail.com,2.109E+12,Nastevska,Magdalena,iewjfrkje,+38971989999
2003-10-29,2023-10-31,f01fe25a-9d61-4e0c-b5ff-9e884ca64d8a,petarrrrpetkov@yahoo.com,2.91E+12,Petkov,Petar,iewfjrlfjw,+38973365485
